SKU,CATEGORY,COLLECTION,LINE_UP,ENTRY_DATE,CATEGORY,GENDER,CASE MATERIAL,CASE COLOR,CASE SHAPE,CASE SIZE,DIAL TYPE,DIAL COLOR,SKU TYPE,STRAP TYPE,STRAP COLOR,ORIGINAL PRICE,PRICE RANGE,ITEM DISC,TECHNOLOGY,BRAND
AE1242-0103,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1242-0903,ENTRYPRICE,SS2018,CARRYOVER,,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,2,SS,2T GLD SLV,2890,2000 - 2999,0,3H,Brand A
AE1242-1216,ENTRYPRICE,FH2015,CARRYOVER,2015-7,LOWLINE,MALE,SS,GLD,ROUND,38MM,ANALOG,GLD,1,SS,GLD,2890,2000 - 2999,0,3H,Brand A
AE1243-0103,ENTRYPRICE,FH2015,CARRYOVER,2015-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,0,SS,SLV,1990,1000 - 1999,0,3H,Brand A
AE1243-1216,ENTRYPRICE,FH2015,CARRYOVER,2015-7,LOWLINE,MALE,SS,GLD,ROUND,38MM,ANALOG,GLD,0,SS,GLD,2890,2000 - 2999,0,3H,Brand A
AE1244-0103,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,40MM,ANALOG,SLV,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1244-1216,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,GLD,ROUND,40MM,ANALOG,GLD,6,SS,GLD,2890,2000 - 2999,0.3,3H,Brand A
AE1245-0103,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,42MM,ANALOG,SLV,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1245-1216,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,GLD,ROUND,42MM,ANALOG,GLD,6,SS,GLD,2890,2000 - 2999,0.3,3H,Brand A
AE1246-0102,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,40MM,ANALOG,BLK,6,SS,SLV,2790,1000 - 1999,0.3,3H DATE,Brand A
AE1246-0114,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,40MM,ANALOG,RED,6,SS,SLV,2690,0 - 999,0.7,3H DATE,Brand A
AE1247-0103,ENTRYPRICE,FH2015,PMDOWN,2015-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1247-1216,ENTRYPRICE,FH2015,CARRYOVER,2015-7,LOWLINE,MALE,SS,GLD,ROUND,38MM,ANALOG,GLD,0,SS,GLD,2890,2000 - 2999,0,3H,Brand A
AE1248-0103,ENTRYPRICE,FH2015,CARRYOVER,2015-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,1,SS,SLV,1990,1000 - 1999,0,3H,Brand A
AE1248A-0102,ENTRYPRICE,BH2016,CARRYOVER,2016-12,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,BLK,1,SS,SLV,1990,1000 - 1999,0,3H,Brand A
AE1248A-0103,ENTRYPRICE,BH2016,CARRYOVER,2016-12,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,BLK,1,SS,SLV,1990,1000 - 1999,0,3H,Brand A
AE1249A-0103,ENTRYPRICE,BH2016,PMDOWN,2016-12,LOWLINE,MALE,SS,SLV,ROUND,40MM,ANALOG,SLV,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1272-0102,GENTS DRESS,BH2015,PMDOWN,2015-12,REGULAR,MALE,SS,SLV,ROUND,44MM,ANALOG,BLK,6,SS,SLV,3690,1000 - 1999,0.5,3H,Brand A
AE1272-0108,GENTS STREET,BH2015,PMDOWN,2015-12,REGULAR,MALE,SS,SLV,ROUND,44MM,ANALOG,GRY,6,SS,SLV,3690,1000 - 1999,0.5,3H,Brand A
AE1273-0104,GENTS STREET,BH2015,PMDOWN,2015-12,REGULAR,MALE,SS,SLV,ROUND,42MM,ANALOG,BLK,6,SS,SLV,3190,2000 - 2999,0.3,3H DATE,Brand A
AE1273-0114,GENTS STREET,BH2015,PMDOWN,2015-12,REGULAR,MALE,SS,SLV,ROUND,42MM,ANALOG,BLK,6,SS,SLV,3190,2000 - 2999,0.3,3H DATE,Brand A
AE1274-0101,ENTRYPRICE,BH2015,CARRYOVER,2015-12,LOWLINE,MALE,SS,GLD,ROUND,42MM,ANALOG,WHT,1,SS,SLV,2590,2000 - 2999,0,3H,Brand A
AE1274-0102,ENTRYPRICE,BH2015,CARRYOVER,2015-12,LOWLINE,MALE,SS,SLV,ROUND,42MM,ANALOG,BLK,1,SS,SLV,2390,2000 - 2999,0,3H,Brand A
AE1274-0104,ENTRYPRICE,BH2015,CARRYOVER,2015-12,LOWLINE,MALE,SS,RGD,ROUND,42MM,ANALOG,BLU,1,SS,SLV,2690,2000 - 2999,0,3H,Brand A
AE1283-0903,ENTRYPRICE,SS2016,CARRYOVER,2016-07,REGULAR,MALE,SS,SLV,ROUND,38MM,ANALOG,SLV,1,SS,2T GLD SLV,2790,2000 - 2999,0,3H,Brand A
AE1285-0102,ENTRYPRICE,SS2016,PMDOWN,2016-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,BLK,6,SS,SLV,1890,1000 - 1999,0.3,3H,Brand A
AE1285-0108,ENTRYPRICE,SS2016,PMDOWN,2016-7,LOWLINE,MALE,SS,SLV,ROUND,38MM,ANALOG,GRY,6,SS,SLV,1990,1000 - 1999,0.3,3H,Brand A
AE1285-0903,ENTRYPRICE,SS2016,CARRYOVER,2016-7,LOWLINE,MALE,SS,2T GLD SLV,ROUND,38MM,ANALOG,SLV,0,SS,2T GLD SLV,2790,2000 - 2999,0,3H,Brand A
AE1303-0102,GENTS STREET,FW2017,CARRYOVER,-   -,REGULAR,MALE,SS,SLV,ROUND,42MM,ANALOG,BLK,1,SS,SLV,1990,1000 - 1999,0,3H,Brand A
AE1303-0103,GENTS STREET,FW2017,CARRYOVER,-   -,REGULAR,MALE,SS,SLV,ROUND,42MM,ANALOG,SLV,1,SS,SLV,1990,1000 - 1999,0,3H,Brand A
