TRANS POSTED DATE,TRANS ACTUAL DATE,TRANS POSTED YEAR,TRANS POSTED MONTH,TRANS POSTED DAY,TRANS POSTED WK,TRANS ACTUAL YEAR,TRANS ACTUAL MONTH,TRANS ACTUAL DAY,TRANS ACTUAL WK,TRANS TYPE,TRANS DOC NUMBER,LOCATION CODE,BRAND,SKU,INVOICED UNITS,CREDIT MEMO UNITS,NET SALES UNITS,UNIT PRICE,INVOICED AMOUNT ,SALES ACTIVITY CODE
6/1/2018,6/1/2018,2018,6,1,22,2018,6,1,22,SI-ITEMS,NTSLS-0000160330,Loc 2,Brand B,PPL.15302JSB/07M,1,0,1,8190,6552,REGULAR
6/1/2018,6/1/2018,2018,6,1,22,2018,6,1,22,SI-ITEMS,NTSLS-0000160340,Loc 9,Brand B,PPL.14378JSR/12P,1,0,1,7490,5243,REGDISC
6/1/2018,6/1/2018,2018,6,1,22,2018,6,1,22,SI-ITEMS,PSINV-0380308,Loc 18,Brand B,PPL.15366JS/03M,1,0,1,7290,4257.36,REGDISC
6/6/2018,6/6/2018,2018,6,6,23,2018,6,6,23,SI-ITEMS,NTSLS-0000160545,Loc 9,Brand B,PPL.15001JSB/02MA,1,0,1,7590,5313,REGDISC
6/9/2018,6/9/2018,2018,6,9,23,2018,6,9,23,SI-ITEMS,NTSLS-0000160669,Loc 9,Brand B,PPL.14834JSB/03M,1,0,1,10990,7693,REGDISC
6/10/2018,6/10/2018,2018,6,10,24,2018,6,10,24,SI-ITEMS,NTSLS-0000160718,Loc 9,Brand B,PPL.15328JSB/02M,1,0,1,8590,6013,REGDISC
6/15/2018,6/15/2018,2018,6,15,24,2018,6,15,24,SI-ITEMS,NTSLS-0000160923,Loc 2,Brand B,PPL.15464JYS/02M,1,0,1,6790,4753,MYSREG
6/15/2018,6/15/2018,2018,6,15,24,2018,6,15,24,SI-ITEMS,NTSLS-0000160933,Loc 9,Brand B,PPL.15246JS/02M,1,0,1,5690,3983,REGDISC
6/15/2018,6/15/2018,2018,6,15,24,2018,6,15,24,SI-ITEMS,NTSLS-0000160933,Loc 9,Brand B,PPL.15388JS/02M,1,0,1,7390,5173,REGDISC
6/16/2018,6/16/2018,2018,6,16,24,2018,6,16,24,SI-ITEMS,NTSLS-0000160978,Loc 9,Brand B,PPL.14801JSU/61P,1,0,1,7790,5453,REGDISC
6/18/2018,6/18/2018,2018,6,18,25,2018,6,18,25,SI-ITEMS,NTSLS-0000161058,Loc 2,Brand B,PPL.15462JYB/02M,1,0,1,5790,4053,MYSREG
